month,umrti,adjustment
1,315,1.073253833
2,326,1.110732538
3,310,1.056218058
4,297,1.011925043
5,281,0.957410562
6,277,0.943781942
7,281,0.957410562
8,275,0.936967632
9,277,0.943781942
10,290,0.988074957
11,288,0.981260647
12,305,1.039182283
